student_roll_number,strategy_submission_number,symbol,timeframe,entry_trade_time,exit_trade_time,entry_trade_price,exit_trade_price,qty,fees,cumulative_capital_after_trade
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-07 13:15:00+05:30,2025-02-07 15:15:00+05:30,23461.05,23563.15,4,48,100360.4
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-10 10:15:00+05:30,2025-02-10 15:15:00+05:30,23401.3,23376.05,4,48,100211.4
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-11 10:15:00+05:30,2025-02-11 15:15:00+05:30,23280.05,23070.5,4,48,99325.2
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-12 10:15:00+05:30,2025-02-12 15:15:00+05:30,22925.55,23057.8,4,48,99806.2
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-13 14:15:00+05:30,2025-02-13 15:15:00+05:30,23030.15,23019.4,4,48,99715.2
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-14 09:15:00+05:30,2025-02-14 15:15:00+05:30,23043.0,22897.25,4,48,99084.2
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-17 10:15:00+05:30,2025-02-17 15:15:00+05:30,22805.7,22963.5,4,48,99667.4
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-18 11:15:00+05:30,2025-02-18 15:15:00+05:30,22863.3,22923.15,4,48,99858.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-20 09:15:00+05:30,2025-02-20 15:15:00+05:30,22873.75,22906.25,4,48,99940.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-21 10:15:00+05:30,2025-02-21 15:15:00+05:30,22767.95,22764.35,4,48,99878.4
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-24 10:15:00+05:30,2025-02-24 15:15:00+05:30,22568.6,22548.85,4,48,99751.4
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-27 09:15:00+05:30,2025-02-27 15:15:00+05:30,22542.3,22510.85,4,48,99577.6
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-02-28 09:15:00+05:30,2025-02-28 15:15:00+05:30,22262.15,22127.4,4,48,98990.6
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-03 09:15:00+05:30,2025-03-03 15:15:00+05:30,22024.9,22143.15,4,48,99415.6
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-04 10:15:00+05:30,2025-03-04 15:15:00+05:30,22083.7,22080.3,4,48,99354.0
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-07 12:15:00+05:30,2025-03-07 15:15:00+05:30,22539.2,22536.95,4,48,99297.0
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-10 14:15:00+05:30,2025-03-10 15:15:00+05:30,22469.65,22441.1,4,48,99134.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-11 09:15:00+05:30,2025-03-11 15:15:00+05:30,22422.55,22520.5,4,48,99478.6
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-12 10:15:00+05:30,2025-03-12 15:15:00+05:30,22416.45,22468.5,4,48,99638.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-13 12:15:00+05:30,2025-03-13 15:15:00+05:30,22429.8,22383.3,4,48,99404.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-17 09:15:00+05:30,2025-03-17 15:15:00+05:30,22513.4,22515.25,4,48,99364.2
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-26 09:15:00+05:30,2025-03-26 15:15:00+05:30,23679.15,23464.3,4,48,98456.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-27 09:15:00+05:30,2025-03-27 15:15:00+05:30,23600.35,23601.05,4,48,98411.6
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-03-28 10:15:00+05:30,2025-03-28 15:15:00+05:30,23581.3,23495.15,4,48,98019.0
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-01 10:15:00+05:30,2025-04-01 15:15:00+05:30,23228.95,23179.7,4,48,97774.0
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-03 10:15:00+05:30,2025-04-03 15:15:00+05:30,23278.95,23241.6,4,48,97576.6
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-04 09:15:00+05:30,2025-04-04 15:15:00+05:30,22941.95,22912.05,4,48,97409.0
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-07 09:15:00+05:30,2025-04-07 15:15:00+05:30,21918.15,22238.0,4,48,98640.4
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-09 10:15:00+05:30,2025-04-09 15:15:00+05:30,22374.55,22420.4,4,48,98775.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-17 10:15:00+05:30,2025-04-17 12:15:00+05:30,23440.1,23788.65,4,48,100122.0
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-23 09:15:00+05:30,2025-04-23 13:15:00+05:30,24190.65,24303.45,4,48,100525.2
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-24 11:15:00+05:30,2025-04-24 15:15:00+05:30,24260.3,24245.05,4,48,100416.2
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-25 09:15:00+05:30,2025-04-25 15:15:00+05:30,24033.65,23991.65,4,48,100200.2
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-28 09:15:00+05:30,2025-04-28 15:15:00+05:30,24275.85,24312.9,4,48,100300.4
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-04-29 12:15:00+05:30,2025-04-29 15:15:00+05:30,24356.85,24325.45,4,48,100126.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-02 09:15:00+05:30,2025-05-02 15:15:00+05:30,24581.95,24313.65,4,48,99005.6
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-06 10:15:00+05:30,2025-05-06 15:15:00+05:30,24387.95,24335.9,4,48,98749.4
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-07 09:15:00+05:30,2025-05-07 15:15:00+05:30,24304.1,24409.3,4,48,99122.2
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-08 13:15:00+05:30,2025-05-08 15:15:00+05:30,24316.95,24154.1,4,48,98422.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-09 09:15:00+05:30,2025-05-09 15:15:00+05:30,24060.65,24038.65,4,48,98286.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-13 10:15:00+05:30,2025-05-13 15:15:00+05:30,24724.55,24593.65,3,48,97846.1
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-14 13:15:00+05:30,2025-05-14 15:15:00+05:30,24615.0,24685.75,3,48,98010.35
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-15 10:15:00+05:30,2025-05-15 13:15:00+05:30,24617.25,25091.0,3,48,99383.6
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-19 12:15:00+05:30,2025-05-19 15:15:00+05:30,24980.55,24935.35,3,48,99200.0
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-20 09:15:00+05:30,2025-05-20 15:15:00+05:30,24899.4,24713.85,3,48,98595.35
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-21 12:15:00+05:30,2025-05-21 15:15:00+05:30,24800.05,24800.95,3,48,98550.05
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-22 10:15:00+05:30,2025-05-22 15:15:00+05:30,24594.6,24637.0,4,48,98671.65
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-27 10:15:00+05:30,2025-05-27 15:15:00+05:30,24877.65,24837.7,3,48,98503.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-28 10:15:00+05:30,2025-05-28 15:15:00+05:30,24768.05,24757.15,3,48,98423.1
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-29 11:15:00+05:30,2025-05-29 15:15:00+05:30,24732.05,24880.85,3,48,98821.5
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-05-30 11:15:00+05:30,2025-05-30 15:15:00+05:30,24741.8,24736.65,3,48,98758.05
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-02 09:15:00+05:30,2025-06-02 15:15:00+05:30,24581.75,24690.35,4,48,99144.45
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-03 10:15:00+05:30,2025-06-03 15:15:00+05:30,24590.2,24538.4,4,48,98889.25
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-11 09:15:00+05:30,2025-06-11 11:15:00+05:30,25146.35,25205.95,3,48,99020.05
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-11 14:15:00+05:30,2025-06-11 15:15:00+05:30,25144.95,25126.8,3,48,98917.6
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-12 09:15:00+05:30,2025-06-12 15:15:00+05:30,25096.8,24856.0,3,48,98147.2
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-13 09:15:00+05:30,2025-06-13 15:15:00+05:30,24644.15,24735.55,3,48,98373.4
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-17 10:15:00+05:30,2025-06-17 15:15:00+05:30,24878.8,24841.5,3,48,98213.5
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-18 09:15:00+05:30,2025-06-18 15:15:00+05:30,24916.95,24798.75,3,48,97810.9
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-19 13:15:00+05:30,2025-06-19 15:15:00+05:30,24832.4,24744.7,3,48,97499.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-20 09:15:00+05:30,2025-06-20 11:15:00+05:30,24919.05,25040.1,3,48,97814.95
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-23 10:15:00+05:30,2025-06-23 15:15:00+05:30,24928.55,24958.9,3,48,97858.0
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-24 14:15:00+05:30,2025-06-24 15:15:00+05:30,25041.5,25071.55,3,48,97900.15
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-06-30 10:15:00+05:30,2025-06-30 15:15:00+05:30,25547.85,25507.45,3,48,97730.95
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-07-02 10:15:00+05:30,2025-07-02 15:15:00+05:30,25477.2,25442.85,3,48,97579.9
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-07-04 09:15:00+05:30,2025-07-04 15:15:00+05:30,25410.25,25467.8,3,48,97704.55
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-07-08 11:15:00+05:30,2025-07-08 15:15:00+05:30,25449.9,25523.1,3,48,97876.15
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-07-10 09:15:00+05:30,2025-07-10 15:15:00+05:30,25413.05,25348.15,3,48,97633.45
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-07-11 09:15:00+05:30,2025-07-11 15:15:00+05:30,25256.75,25140.55,3,48,97236.85
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-07-14 09:15:00+05:30,2025-07-14 15:15:00+05:30,25119.8,25087.1,3,48,97090.75
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-07-16 10:15:00+05:30,2025-07-16 14:15:00+05:30,25145.75,25207.5,3,48,97228.0
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-07-17 10:15:00+05:30,2025-07-17 15:15:00+05:30,25178.9,25109.5,3,48,96971.8
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-07-18 09:15:00+05:30,2025-07-18 15:15:00+05:30,25013.3,24967.45,3,48,96786.25
YOUR_ROLL_NUMBER,1,NSE:NIFTY50-INDEX,60,2025-07-21 14:15:00+05:30,2025-07-21 15:15:00+05:30,25088.1,25093.3,3,48,96753.85
