datetime,open,high,low,close,volume
2025-01-01 09:15:00+05:30,638.5,642.75,637.5,640.5,328709
2025-01-01 10:15:00+05:30,640.4,642.4,640.2,640.5,181580
2025-01-01 11:15:00+05:30,640.65,641.7,639.35,640.3,165785
2025-01-01 12:15:00+05:30,640.3,645.95,640.05,645.1,408465
2025-01-01 13:15:00+05:30,645.15,646.95,644.5,645.35,252987
2025-01-01 14:15:00+05:30,645.35,653.65,644.05,651.55,981087
2025-01-01 15:15:00+05:30,651.9,652.2,650.0,650.0,305455
2025-01-02 09:15:00+05:30,654.0,655.0,648.0,651.4,899149
2025-01-02 10:15:00+05:30,651.15,663.55,650.25,663.2,1270945
2025-01-02 11:15:00+05:30,663.5,663.6,655.1,655.8,858402
2025-01-02 12:15:00+05:30,655.95,658.95,650.15,653.8,1151455
2025-01-02 13:15:00+05:30,653.45,653.9,647.1,648.5,531523
2025-01-02 14:15:00+05:30,648.5,649.85,644.35,648.85,456109
2025-01-02 15:15:00+05:30,648.75,650.25,647.25,648.0,214104
2025-01-03 09:15:00+05:30,654.0,654.0,640.8,641.55,755393
2025-01-03 10:15:00+05:30,641.45,652.75,641.2,650.85,936670
2025-01-03 11:15:00+05:30,650.7,651.05,648.2,648.9,233638
2025-01-03 12:15:00+05:30,648.7,650.75,648.45,650.0,233675
2025-01-03 13:15:00+05:30,650.0,651.65,649.05,650.65,426704
2025-01-03 14:15:00+05:30,650.9,653.75,650.0,652.1,688012
2025-01-03 15:15:00+05:30,652.1,653.0,650.1,651.7,340857
2025-01-06 09:15:00+05:30,645.0,645.95,636.25,638.2,667045
2025-01-06 10:15:00+05:30,638.2,640.5,632.05,633.55,553748
2025-01-06 11:15:00+05:30,633.6,634.9,628.05,631.45,632748
2025-01-06 12:15:00+05:30,631.35,634.45,629.6,632.85,512557
2025-01-06 13:15:00+05:30,633.0,633.0,626.4,630.0,541730
2025-01-06 14:15:00+05:30,629.9,633.35,625.35,630.4,1027515
2025-01-06 15:15:00+05:30,630.4,631.7,628.75,630.15,460096
2025-01-07 09:15:00+05:30,630.65,636.9,622.0,627.35,699439
2025-01-07 10:15:00+05:30,627.4,627.65,618.0,619.45,561716
2025-01-07 11:15:00+05:30,619.45,621.15,615.8,616.0,329693
2025-01-07 12:15:00+05:30,616.35,619.75,615.05,617.8,454333
2025-01-07 13:15:00+05:30,617.8,621.3,617.0,620.75,387880
2025-01-07 14:15:00+05:30,620.75,621.0,617.05,617.85,598588
2025-01-07 15:15:00+05:30,617.8,619.35,617.25,619.0,492226
2025-01-08 09:15:00+05:30,621.5,626.35,607.65,611.9,1161717
2025-01-08 10:15:00+05:30,611.95,613.3,606.2,607.6,561957
2025-01-08 11:15:00+05:30,607.6,609.5,603.45,604.8,465595
2025-01-08 12:15:00+05:30,604.8,607.05,604.2,605.85,338155
2025-01-08 13:15:00+05:30,605.85,609.4,605.55,609.1,307911
2025-01-08 14:15:00+05:30,609.4,612.2,605.9,608.2,1727450
2025-01-08 15:15:00+05:30,608.2,608.25,603.7,607.0,439205
2025-01-09 09:15:00+05:30,608.5,608.7,599.85,603.05,529613
2025-01-09 10:15:00+05:30,603.3,608.0,603.3,604.95,560177
2025-01-09 11:15:00+05:30,604.9,607.0,604.1,604.75,286841
2025-01-09 12:15:00+05:30,604.65,606.9,603.05,603.55,453464
2025-01-09 13:15:00+05:30,603.55,603.55,600.5,602.25,460638
2025-01-09 14:15:00+05:30,602.25,605.9,602.1,605.9,620267
2025-01-09 15:15:00+05:30,605.7,608.75,604.0,605.0,734627
2025-01-10 09:15:00+05:30,600.0,602.75,590.4,593.6,1120405
2025-01-10 10:15:00+05:30,593.6,598.25,592.05,598.25,443166
2025-01-10 11:15:00+05:30,598.25,600.6,595.1,596.7,466711
2025-01-10 12:15:00+05:30,596.7,599.45,595.75,598.75,356926
2025-01-10 13:15:00+05:30,598.5,602.0,596.1,596.5,439396
2025-01-10 14:15:00+05:30,596.55,597.9,594.45,596.6,586490
2025-01-10 15:15:00+05:30,596.5,597.3,595.0,595.8,240365
2025-01-13 09:15:00+05:30,585.0,591.35,585.0,588.1,594232
2025-01-13 10:15:00+05:30,588.1,589.5,580.2,580.55,576078
2025-01-13 11:15:00+05:30,580.7,582.6,575.0,575.05,727299
2025-01-13 12:15:00+05:30,575.35,576.0,572.55,574.1,286816
2025-01-13 13:15:00+05:30,574.0,577.2,571.25,575.6,420023
2025-01-13 14:15:00+05:30,575.55,577.15,573.1,575.7,759233
2025-01-13 15:15:00+05:30,575.75,575.75,573.25,574.75,495958
2025-01-14 09:15:00+05:30,575.0,579.85,560.5,562.5,1987930
2025-01-14 10:15:00+05:30,562.6,569.0,556.85,568.3,1101663
2025-01-14 11:15:00+05:30,568.05,573.35,566.1,566.4,1341591
2025-01-14 12:15:00+05:30,566.4,566.5,562.05,564.95,809970
2025-01-14 13:15:00+05:30,564.85,566.3,562.5,565.05,704748
2025-01-14 14:15:00+05:30,565.25,569.3,564.0,565.7,1175290
2025-01-14 15:15:00+05:30,565.75,569.8,565.2,569.8,702718
2025-01-15 09:15:00+05:30,574.9,575.4,559.05,560.3,771296
2025-01-15 10:15:00+05:30,560.0,567.5,559.95,564.85,695607
2025-01-15 11:15:00+05:30,564.75,565.35,562.05,562.55,628640
2025-01-15 12:15:00+05:30,562.45,563.9,560.65,560.75,539639
2025-01-15 13:15:00+05:30,560.85,562.25,559.45,561.6,742738
2025-01-15 14:15:00+05:30,561.6,562.0,559.05,560.6,1033660
2025-01-15 15:15:00+05:30,560.7,561.2,558.95,560.0,540266
2025-01-16 09:15:00+05:30,568.95,580.6,565.1,575.15,1188695
2025-01-16 10:15:00+05:30,575.05,575.7,571.6,573.35,495513
2025-01-16 11:15:00+05:30,573.35,575.25,573.2,575.0,614502
2025-01-16 12:15:00+05:30,575.0,575.15,573.3,574.6,309017
2025-01-16 13:15:00+05:30,574.6,575.85,574.05,574.95,723619
2025-01-16 14:15:00+05:30,575.05,575.5,574.5,574.85,1420205
