datetime,open,high,low,close,volume
2025-01-01 09:15:00+05:30,19.6,19.69,19.56,19.69,3902933
2025-01-01 09:30:00+05:30,19.69,19.7,19.64,19.65,2188169
2025-01-01 09:45:00+05:30,19.66,19.66,19.59,19.65,2267133
2025-01-01 10:00:00+05:30,19.65,19.69,19.62,19.67,1743342
2025-01-01 10:15:00+05:30,19.68,19.69,19.66,19.69,1078945
2025-01-01 10:30:00+05:30,19.7,19.7,19.62,19.63,1254500
2025-01-01 10:45:00+05:30,19.63,19.68,19.63,19.66,981766
2025-01-01 11:00:00+05:30,19.66,19.67,19.62,19.63,1388366
2025-01-01 11:15:00+05:30,19.63,19.65,19.61,19.62,935352
2025-01-01 11:30:00+05:30,19.61,19.64,19.61,19.63,435739
2025-01-01 11:45:00+05:30,19.63,19.64,19.6,19.62,692986
2025-01-01 12:00:00+05:30,19.62,19.63,19.6,19.61,861244
2025-01-01 12:15:00+05:30,19.61,19.63,19.59,19.6,1435146
2025-01-01 12:30:00+05:30,19.6,19.65,19.59,19.59,2251189
2025-01-01 12:45:00+05:30,19.58,19.61,19.52,19.55,4889895
2025-01-01 13:00:00+05:30,19.54,19.58,19.54,19.56,1847159
2025-01-01 13:15:00+05:30,19.56,19.66,19.56,19.64,6362415
2025-01-01 13:30:00+05:30,19.65,19.68,19.61,19.65,2423486
2025-01-01 13:45:00+05:30,19.65,19.67,19.58,19.64,4301517
2025-01-01 14:00:00+05:30,19.63,19.66,19.61,19.63,1745054
2025-01-01 14:15:00+05:30,19.64,19.66,19.61,19.62,1425671
2025-01-01 14:30:00+05:30,19.63,19.64,19.61,19.62,903273
2025-01-01 14:45:00+05:30,19.62,19.65,19.61,19.64,1425970
2025-01-01 15:00:00+05:30,19.64,19.66,19.62,19.64,1478456
2025-01-01 15:15:00+05:30,19.62,19.66,19.61,19.65,3713460
2025-01-02 09:15:00+05:30,19.64,19.7,19.63,19.65,3548223
2025-01-02 09:30:00+05:30,19.66,19.69,19.63,19.68,1863932
2025-01-02 09:45:00+05:30,19.67,19.68,19.62,19.64,2101544
2025-01-02 10:00:00+05:30,19.64,19.64,19.53,19.53,4520066
2025-01-02 10:15:00+05:30,19.54,19.55,19.47,19.49,3264138
2025-01-02 10:30:00+05:30,19.51,19.51,19.45,19.48,2120804
2025-01-02 10:45:00+05:30,19.47,19.49,19.46,19.49,1571817
2025-01-02 11:00:00+05:30,19.48,19.49,19.43,19.45,2152230
2025-01-02 11:15:00+05:30,19.45,19.45,19.41,19.43,1772191
2025-01-02 11:30:00+05:30,19.43,19.43,19.35,19.35,4578787
2025-01-02 11:45:00+05:30,19.37,19.37,19.32,19.36,2104091
2025-01-02 12:00:00+05:30,19.35,19.4,19.35,19.36,2136158
2025-01-02 12:15:00+05:30,19.37,19.38,19.33,19.37,2353836
2025-01-02 12:30:00+05:30,19.37,19.42,19.37,19.4,1958882
2025-01-02 12:45:00+05:30,19.41,19.43,19.4,19.41,2031000
2025-01-02 13:00:00+05:30,19.41,19.44,19.41,19.41,1278871
2025-01-02 13:15:00+05:30,19.42,19.45,19.41,19.43,1372413
2025-01-02 13:30:00+05:30,19.43,19.51,19.43,19.49,4057948
2025-01-02 13:45:00+05:30,19.48,19.51,19.46,19.49,2565564
2025-01-02 14:00:00+05:30,19.49,19.55,19.48,19.55,2056573
2025-01-02 14:15:00+05:30,19.55,19.57,19.52,19.54,1832043
2025-01-02 14:30:00+05:30,19.54,19.57,19.52,19.55,1724133
