student_roll_number,strategy_submission_number,symbol,timeframe,entry_trade_time,exit_trade_time,entry_trade_price,exit_trade_price,qty,fees,cumulative_capital_after_trade
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-01-03 09:15:00+05:30,2025-01-03 13:15:00+05:30,24042.2,24031.6,4,48,99909.6
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-01-29 14:15:00+05:30,2025-01-29 15:15:00+05:30,23159.35,23176.2,4,48,99929.0
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-01-30 09:15:00+05:30,2025-01-30 13:15:00+05:30,23271.4,23167.6,4,48,99465.8
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-01-30 14:15:00+05:30,2025-01-30 15:15:00+05:30,23249.55,23297.95,4,48,99611.4
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-01-31 09:15:00+05:30,2025-01-31 13:15:00+05:30,23340.2,23447.85,4,48,99994.0
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-01-31 14:15:00+05:30,2025-01-31 15:15:00+05:30,23515.15,23533.85,4,48,100020.8
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-02-01 09:15:00+05:30,2025-02-01 12:15:00+05:30,23555.9,23373.4,4,48,99242.8
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-02-01 13:15:00+05:30,2025-02-01 14:15:00+05:30,23520.25,23481.2,4,48,99038.6
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-02-04 11:15:00+05:30,2025-02-04 15:15:00+05:30,23565.4,23707.7,4,48,99559.8
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-02-05 09:15:00+05:30,2025-02-05 13:15:00+05:30,23746.4,23743.1,4,48,99498.6
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-06 10:15:00+05:30,2025-03-06 14:15:00+05:30,22436.25,22547.85,4,48,99897.0
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-07 09:15:00+05:30,2025-03-07 13:15:00+05:30,22605.7,22553.6,4,48,99640.6
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-07 14:15:00+05:30,2025-03-07 15:15:00+05:30,22556.85,22536.95,4,48,99513.0
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-10 09:15:00+05:30,2025-03-10 11:15:00+05:30,22631.75,22587.5,4,48,99288.0
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-17 13:15:00+05:30,2025-03-17 15:15:00+05:30,22520.65,22515.25,4,48,99218.4
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-18 09:15:00+05:30,2025-03-18 13:15:00+05:30,22745.35,22774.35,4,48,99286.4
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-18 14:15:00+05:30,2025-03-18 15:15:00+05:30,22842.95,22848.75,4,48,99261.6
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-19 09:15:00+05:30,2025-03-19 13:15:00+05:30,22864.1,22908.75,4,48,99392.2
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-19 14:15:00+05:30,2025-03-19 15:15:00+05:30,22911.55,22911.8,4,48,99345.2
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-20 09:15:00+05:30,2025-03-20 13:15:00+05:30,22987.65,23182.4,4,48,100076.2
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-20 14:15:00+05:30,2025-03-20 15:15:00+05:30,23183.85,23165.7,4,48,99955.6
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-21 09:15:00+05:30,2025-03-21 13:15:00+05:30,23257.3,23335.95,4,48,100222.2
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-21 14:15:00+05:30,2025-03-21 15:15:00+05:30,23348.8,23355.65,4,48,100201.6
23ME3EP03,2,NSE:NIFTY50-INDEX,60,2025-03-24 09:15:00+05:30,2025-03-24 13:15:00+05:30,23544.05,23687.35,4,48,100726.8
