student_roll_number,strategy_submission_number,symbol,timeframe,entry_trade_time,exit_trade_time,entry_trade_price,exit_trade_price,qty,fees,cumulative_capital_after_trade
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-01-20 10:15:00+05:30,2025-01-20 12:15:00+05:30,18.73,19.08,5070,48,101726.5
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-01-24 10:15:00+05:30,2025-01-24 12:15:00+05:30,18.36,18.33,5262,48,101520.64
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-01-28 10:15:00+05:30,2025-01-28 12:15:00+05:30,18.21,18.46,5294,48,102796.14
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-01-29 09:15:00+05:30,2025-01-29 11:15:00+05:30,18.81,18.66,5190,48,101969.64
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-01-30 12:15:00+05:30,2025-01-30 14:15:00+05:30,19.12,18.95,5065,48,101060.59
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-02-01 12:15:00+05:30,2025-02-01 14:15:00+05:30,18.92,19.08,5073,48,101824.27
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-02-05 09:15:00+05:30,2025-02-05 11:15:00+05:30,19.29,19.35,5013,48,102077.05
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-02-06 12:15:00+05:30,2025-02-06 14:15:00+05:30,19.29,19.29,5025,48,102029.05
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-02-14 09:15:00+05:30,2025-02-14 11:15:00+05:30,18.0,17.8,5383,48,100904.45
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-02-18 13:15:00+05:30,2025-02-18 15:15:00+05:30,17.25,17.46,5555,48,102023.0
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-02-21 10:15:00+05:30,2025-02-21 12:15:00+05:30,18.02,18.03,5377,48,102028.77
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-03-04 13:15:00+05:30,2025-03-04 15:15:00+05:30,16.36,16.36,5923,48,101980.77
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-03-07 09:15:00+05:30,2025-03-07 11:15:00+05:30,17.02,16.92,5690,48,101363.77
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-03-12 12:15:00+05:30,2025-03-12 14:15:00+05:30,16.13,16.16,5968,48,101494.81
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-03-17 10:15:00+05:30,2025-03-17 12:15:00+05:30,16.13,16.14,5976,48,101506.57
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-03-18 09:15:00+05:30,2025-03-18 11:15:00+05:30,16.29,16.35,5918,48,101813.65
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-03-19 09:15:00+05:30,2025-03-19 11:15:00+05:30,16.82,16.9,5749,48,102225.57
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-03-21 09:15:00+05:30,2025-03-21 11:15:00+05:30,17.08,17.05,5684,48,102007.05
23ME3EP03,2,NSE:YESBANK-EQ,60,2025-03-24 09:15:00+05:30,2025-03-24 11:15:00+05:30,17.38,17.41,5574,48,102126.27
