student_roll_number,strategy_submission_number,symbol,timeframe,entry_trade_time,exit_trade_time,entry_trade_price,exit_trade_price,qty,fees,cumulative_capital_after_trade
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-01-15 10:15:00+05:30,2025-01-15 15:15:00+05:30,1757.4,1759.0,54,48,103669.7
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-01-16 10:15:00+05:30,2025-01-16 11:15:00+05:30,1748.65,1764.65,54,48,104485.7
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-01-21 09:15:00+05:30,2025-01-21 11:15:00+05:30,1781.95,1792.5,53,48,104996.85
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-01-22 09:15:00+05:30,2025-01-22 10:15:00+05:30,1783.1,1790.45,53,48,105338.4
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-01-24 13:15:00+05:30,2025-01-24 15:15:00+05:30,1819.8,1818.9,53,48,105242.7
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-01-27 09:15:00+05:30,2025-01-27 15:15:00+05:30,1801.3,1787.95,53,48,104487.15
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-01-30 12:15:00+05:30,2025-01-30 14:15:00+05:30,1732.7,1743.55,55,48,105035.9
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-02-03 10:15:00+05:30,2025-02-03 15:15:00+05:30,1722.4,1737.85,55,48,105837.65
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-02-05 10:15:00+05:30,2025-02-05 13:15:00+05:30,1743.6,1755.2,55,48,106427.65
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-02-06 10:15:00+05:30,2025-02-06 15:15:00+05:30,1737.65,1744.85,56,48,106782.85
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-02-07 10:15:00+05:30,2025-02-07 12:15:00+05:30,1735.05,1741.9,56,48,107118.45
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-02-10 10:15:00+05:30,2025-02-10 15:15:00+05:30,1729.35,1733.85,56,48,107322.45
23ME3EP03,3,NSE:SUNPHARMA-EQ,60,2025-02-11 11:15:00+05:30,2025-02-11 15:15:00+05:30,1717.55,1701.6,57,48,106365.3
