student_roll_number,strategy_submission_number,symbol,timeframe,entry_trade_time,exit_trade_time,entry_trade_price,exit_trade_price,qty,fees,cumulative_capital_after_trade
23ME3EP03,3,NSE:VBL-EQ,60,2025-01-10 10:15:00+05:30,2025-01-10 15:15:00+05:30,598.25,595.8,158,48,114730.05
23ME3EP03,3,NSE:VBL-EQ,60,2025-01-15 10:15:00+05:30,2025-01-15 15:15:00+05:30,564.85,560.0,167,48,113872.1
23ME3EP03,3,NSE:VBL-EQ,60,2025-01-16 09:15:00+05:30,2025-01-16 10:15:00+05:30,575.15,573.35,162,48,113532.5
23ME3EP03,3,NSE:VBL-EQ,60,2025-01-17 10:15:00+05:30,2025-01-17 15:15:00+05:30,550.0,559.0,169,48,115005.5
23ME3EP03,3,NSE:VBL-EQ,60,2025-01-20 10:15:00+05:30,2025-01-20 15:15:00+05:30,552.65,553.85,171,48,115162.7
23ME3EP03,3,NSE:VBL-EQ,60,2025-01-21 11:15:00+05:30,2025-01-21 15:15:00+05:30,542.75,541.0,174,48,114810.2
23ME3EP03,3,NSE:VBL-EQ,60,2025-01-24 10:15:00+05:30,2025-01-24 11:15:00+05:30,540.15,544.75,175,48,115567.2
23ME3EP03,3,NSE:VBL-EQ,60,2025-01-27 11:15:00+05:30,2025-01-27 15:15:00+05:30,529.2,524.0,180,48,114583.2
23ME3EP03,3,NSE:VBL-EQ,60,2025-01-28 11:15:00+05:30,2025-01-28 13:15:00+05:30,522.0,532.55,180,48,116434.2
23ME3EP03,3,NSE:VBL-EQ,60,2025-01-31 10:15:00+05:30,2025-01-31 15:15:00+05:30,539.05,538.0,178,48,116199.3
23ME3EP03,3,NSE:VBL-EQ,60,2025-02-10 11:15:00+05:30,2025-02-10 15:15:00+05:30,550.6,543.1,174,48,114846.3
23ME3EP03,3,NSE:VBL-EQ,60,2025-02-13 10:15:00+05:30,2025-02-13 15:15:00+05:30,523.25,512.15,180,48,112800.3
23ME3EP03,3,NSE:VBL-EQ,60,2025-02-19 09:15:00+05:30,2025-02-19 10:15:00+05:30,475.05,475.8,195,48,112898.55
23ME3EP03,3,NSE:VBL-EQ,60,2025-02-20 10:15:00+05:30,2025-02-20 15:15:00+05:30,469.95,470.3,197,48,112919.5
23ME3EP03,3,NSE:VBL-EQ,60,2025-02-21 11:15:00+05:30,2025-02-21 13:15:00+05:30,463.8,475.0,200,48,115111.5
23ME3EP03,3,NSE:VBL-EQ,60,2025-02-24 10:15:00+05:30,2025-02-24 11:15:00+05:30,473.45,487.2,200,48,117813.5
23ME3EP03,3,NSE:VBL-EQ,60,2025-02-25 10:15:00+05:30,2025-02-25 15:15:00+05:30,482.9,478.5,201,48,116881.1
